13:48:31;Tu=75.19;Tm=76.81;Td=77.38;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.71
13:49:01;Tu=75.13;Tm=76.81;Td=77.38;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.70
13:49:32;Tu=75.13;Tm=76.81;Td=77.38;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.70
13:50:02;Tu=75.13;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
13:50:32;Tu=75.13;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
13:51:01;Tu=75.13;Tm=76.81;Td=77.44;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.70
13:51:31;Tu=75.13;Tm=76.81;Td=77.44;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.70
13:52:02;Tu=75.13;Tm=76.88;Td=77.38;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
13:52:32;Tu=75.13;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
13:53:02;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.70
13:53:32;Tu=75.13;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:54:02;Tu=75.13;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:54:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:55:02;Tu=75.19;Tm=76.81;Td=77.44;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.71
13:55:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:56:03;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:56:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:57:02;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:57:32;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:58:01;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:58:31;Tu=75.19;Tm=76.88;Td=77.44;Tc=0.00;Tdif=76.88;Tj=0.00;To=0.00;Tj=761.71
13:59:02;Tu=75.25;Tm=76.81;Td=77.44;Tc=0.00;Tdif=76.81;Tj=0.00;To=0.00;Tj=761.70
